5259606 4837
3954472 4134
 531250 34665
 491115 63949
 490115 63199
 312713 202425
 259567 19531
 231339 51659
 192000 4764
 178171 200651
 136483 50113
 130617 32748
 123525 10439
 105953 23724
  98117 53340
  91602 4766
  87049 16509
  71088 40913
  65061 2516
  62936 36375
  59191 28753
  59028 4808
  49151 9808
  47111 6939
  41352 3462
  38991 29424
  36956 16276
  33051 5413
  29168 8075
  27828 12876
  27610 62370
  27165 42570
  26305 62240
  23483 14061
  19165 12741
  19119 2519
  19056 32475
  17205 14618
  16637 10126
  15735 38731
  15618 28573
  14138 4812
  12658 20860
  11857 58461
  11520 18881
  11406 9811
  10364 25
   9835 140061
   9639 50613
   9296 37963
   8847 9009
   8681 50297
   8680 56044
   8165 4760
   8126 3786
   7769 4538
   7168 786
   6725 17621
   6614 20473
   6363 136800
   6320 19429
   6061 36351
   6040 47610
   5966 17816
   5522 9304
   5410 9394
   5292 56041
   5067 18182
   5050 60404
   4999 3549
   4950 55
   4931 59162
   4814 205454
   4636 134771
   4602 134238
   4501 4847
   4355 8551
   4333 174
   4319 55990
   4164 38283
   3998 12816
   3857 1239
   3784 133774
   3702 55430
   3551 17444
   3525 43350
   3430 23338
   3271 135905
   3250 51852
   3248 23953
   3174 21887
   3098 2514
   2888 15615
   2794 212238
   2788 24444
   2784 45899
   2777 29091
   2501 18322
   2260 38364
   2176 3215
   2103 134768
   2018 27717
   1995 197890
   1964 24445
   1867 24400
   1861 135061
   1850 834
   1788 35838
   1783 9318
   1725 20738
   1708 25820
   1694 7922
   1685 12389
   1642 45090
   1625 35816
   1598 25019
   1582 137691
   1554 25956
   1550 60117
   1547 197922
   1532 55353
   1528 51167
   1509 17638
   1485 56046
   1483 62164
   1448 51430
   1442 199610
   1422 9500
   1411 56047
   1398 7018
   1358 24940
   1348 9269
   1339 63835
   1321 10010
   1276 9286
   1274 39891
   1272 9237
   1238 17552
   1237 47702
   1225 396982
   1222 45064
   1157 58539
   1098 393653
   1091 56040
   1049 17511
   1013 60740
   1004 58543
   1001 36666
    993 17622
    958 140726
    949 134810
    929 7679
    924 17962
    884 17623
    866 3320
    843 134774
    799 46475
