vhash,dport,packet_size,n_src,n_dst
b3fff84dc42d5f9fc0cb1f906cb97d30,21,46,20,644
a5fab38e597a7a43f853032d7f574bc5,444,149,1,1
0f8cc5d0a8b3a3d476ccab1a0f60abc4,21,49,20,647
4a8580774b624f275244e68564352ded,3306,149,1,1
9aef79e2c7e5ac56a010660fb5594931,631,342,1,1
2487e13d8a2026521511cc85404cb213,1723,93,20,645
bf5301d9f66675521c734c08b9796cff,445,130,20,645
63864d1c59513d5e2a406f7a9417c573,21,149,1,1
b3fff84dc42d5f9fc0cb1f906cb97d30,37,46,20,644
a668727d917520a1bd87a15c1380cec2,37,62,20,646
52113d8a3609b712acfed33d1bc19ca1,444,46,20,643
c0bf0a14a2aa6af76d955fb35d026562,843,335,1,1
7db3732ad9e47054a40979aca87f8963,1723,47,20,642
0f8cc5d0a8b3a3d476ccab1a0f60abc4,631,49,20,647
0047f516a0c44b308aa6ba391107590f,445,184,20,640
58113f184470d7a063aea1ffbb4bbcfa,37,62,20,635
45fb59e6f55a684ac47f48e446ff2550,37,62,20,639
81647d31e2f92f3f85bbea17b9eee2bd,21,72,20,645
52113d8a3609b712acfed33d1bc19ca1,3306,46,20,643
a668727d917520a1bd87a15c1380cec2,444,62,20,646
c7dd66719728d36ac0a6accd5fcfcd6b,3306,62,20,621
ae304a77c768775ed6d8ae0c468058c1,37,149,1,1
20a1d4a4a54e3cf08f1cd1770eb0dc66,444,62,20,626
d879ab828b597acdf4ff6328f2605ab8,444,63,20,640
58113f184470d7a063aea1ffbb4bbcfa,444,62,20,635
935d9f94803e7d808b7e67dc71a9ffaf,843,342,1,1
100a9e2cda856218ebc6b03070c464ec,1723,62,20,646
30728cacb60be862905bbfee20ef904e,631,75,20,645
fe0d822e0f469f463b65096735be5d53,445,47,20,639
4bf46863104519c369fa0f7857de657e,21,71,20,645
93a1c201dd00be758e447851c5a9ecb3,445,335,1,1
d879ab828b597acdf4ff6328f2605ab8,3306,63,20,640
20a1d4a4a54e3cf08f1cd1770eb0dc66,37,62,20,626
58b84d39c813d27d3cfea77afb4957f7,631,335,1,1
393ab6bb2627b64d5cca62c712bfd329,21,47,20,645
52113d8a3609b712acfed33d1bc19ca1,37,46,20,643
fb358db24237b645fedeae52055dd892,444,60,20,643
c7dd66719728d36ac0a6accd5fcfcd6b,444,62,20,621
3798a4d11ee46cc4beddfd1b8c53f2b0,1723,64,20,646
30728cacb60be862905bbfee20ef904e,843,75,20,645
87f505a0967364a9e1d7290d4ef8cf8c,445,54,20,644
435d656b486fa86c8f50a4261ab2f166,21,335,1,1
e3c4dd21a9171fd39d208efa09bf7883,21,96,20,644
